Date,Governorate,Population
2/18/2018,Amran,1160556
2/18/2018,Al Mahwit,730208
2/18/2018,Al Dhale'e,731493
2/18/2018,Hajjah,2329754
2/18/2018,Sana'a,1470333
2/18/2018,Dhamar,2012282
2/18/2018,Abyan,570830
2/18/2018,Al Hudaydah,3238166
2/18/2018,Al Bayda,759396
2/18/2018,Amanat Al Asimah,2827811
2/18/2018,Raymah,606774
2/18/2018,Al Jawf,578580
2/18/2018,Lahj,1008869
2/18/2018,Aden,923002
2/18/2018,Ibb,2957094
2/18/2018,Taizz,2998305
2/18/2018,Marib,358537
2/18/2018,Sa'ada,905140
2/18/2018,Al Maharah,148487
2/18/2018,Shabwah,604319
2/18/2018,Moklla,441085
2/18/2018,Say'on,379310
